city,time_hr,dry_bulb_C,dew_point_C,wet_bulb_C,sky_temp_C,humidity_ratio,rel_humidity_pct,wind_speed_ms,wind_dir_deg,atm_pressure_atm,month,hour,day_of_year,ghi_Wm2,dni_proj_Wm2,dhi_Wm2,latitude,longitude,elevation_m
Campeche,0,18.1999999999999,17.6,17.7716401978796,10.9362642500545,0.0125826619444761,96.0,0.6,88.0,0.998766345916604,12,0,1,0.0,0.0,0.0,19.8301,-90.5349,10
Campeche,1,21.75,20.95,21.1635551348648,16.2287548566042,0.0155884212318598,95.0,1.5,85.5,0.998766345916604,1,1,1,0.0,0.0,0.0,19.8301,-90.5349,10
Campeche,2,25.2,24.25,24.4376195507013,21.2444517770965,0.0190967592832674,94.0,2.14999999999999,77.5,0.998766345916604,1,2,1,0.0,0.0,0.0,19.8301,-90.5349,10
Campeche,3,25.05,24.15,24.3542571015777,20.973191685361,0.0190254741794544,94.5,1.7,93.0,0.998766345916604,1,3,1,0.0,0.0,0.0,19.8301,-90.5349,10
Campeche,4,24.9,24.05,24.3339903623721,20.6760063042937,0.019056529949678,95.5,1.7,122.0,0.998766345916604,1,4,1,0.0,0.0,0.0,19.8301,-90.5349,10
Campeche,5,24.7,24.05,24.2627434591958,20.3489215884458,0.0190266163631648,96.5,1.8,129.0,0.998766345916604,1,5,1,0.0,0.0,0.0,19.8301,-90.5349,10
Campeche,6,24.5,24.1,24.1897852510145,20.0312341423431,0.0189942925106662,97.5,1.85,122.5,0.998766345916604,1,6,1,0.0,0.0,0.0,19.8301,-90.5349,10
Campeche,7,24.3,24.1,24.1769050977387,19.6946394378153,0.019058804185133,99.0,1.8,106.5,0.998766345916604,1,7,1,0.0,0.0,0.0,19.8301,-90.5349,10
Campeche,8,24.4,24.2,24.2766387666725,19.7007292896674,0.0191768600599734,99.0,2.1,99.0,0.998766345916604,1,8,1,19.0,0.0,19.0,19.8301,-90.5349,10
Campeche,9,25.15,24.55,24.7085120569027,20.4602697065585,0.0195605211566792,96.5,2.3,90.5,0.998766345916604,1,9,1,123.0,0.0,123.0,19.8301,-90.5349,10
Campeche,10,26.4,25.05,25.4185400210997,21.797027143583,0.0202119634133459,92.5,2.95,98.5,0.998766345916604,1,10,1,265.59089533121113,21.59089533121125,243.99999999999972,19.8301,-90.5349,10
Campeche,11,27.55,25.35,25.9241553868503,22.991645989066,0.0205841104501045,88.0,3.5,84.0,0.998766345916604,1,11,1,293.7316869720194,17.731686972019972,276.0,19.8301,-90.5349,10
Campeche,12,28.8,25.6,26.4050393953687,23.8978441554675,0.0208894923331911,83.0,3.0,93.0,0.998766345916604,1,12,1,564.5628854508778,201.56288545087804,363.0,19.8301,-90.5349,10
Campeche,13,29.65,25.7,26.6833789511059,24.797493973995,0.0210193556688236,79.5,3.15,118.0,0.998766345916604,1,13,1,267.4976903038814,14.497690303881612,253.0,19.8301,-90.5349,10
Campeche,14,29.7,25.5,26.5764860229731,25.2228235244711,0.0208079197335224,78.5,3.5,79.0,0.998766345916604,1,14,1,240.3715075499358,5.371507549936056,235.0,19.8301,-90.5349,10
Campeche,15,29.55,25.3,26.3586432811869,25.0836527793011,0.0204874002470253,78.0,3.35,56.5,0.998766345916604,1,15,1,181.1263429902564,1.1263429902565638,180.0,19.8301,-90.5349,10
Campeche,16,29.1,25.1,26.08965686599,24.67550138729,0.0202095038696766,79.0,3.7,93.0,0.998766345916604,1,16,1,76.0,0.0,76.0,19.8301,-90.5349,10
Campeche,17,28.45,24.9,25.7770407865864,24.0889740584282,0.0199471742072244,81.0,3.7,83.5,0.998766345916604,1,17,1,35.99999999999972,0.0,35.99999999999972,19.8301,-90.5349,10
Campeche,18,27.8,24.75,25.4529528000621,23.5312954970839,0.0196722200227774,83.0,3.35,73.0,0.998766345916604,1,18,1,0.0,0.0,0.0,19.8301,-90.5349,10
Campeche,19,27.3,24.65,25.2613825686229,23.1404275951734,0.0195624209577372,85.0,3.25,103.5,0.998766345916604,1,19,1,0.0,0.0,0.0,19.8301,-90.5349,10
Campeche,20,26.9,24.5,25.0882200344221,22.8191654981837,0.0194422256720423,86.5,2.9,99.0,0.998766345916604,1,20,1,0.0,0.0,0.0,19.8301,-90.5349,10
Campeche,21,26.45,24.25,24.7923164542494,22.3920287173299,0.0191439929951195,87.5,2.9,107.5,0.998766345916604,1,21,1,0.0,0.0,0.0,19.8301,-90.5349,10
Campeche,22,26.0,23.95,24.4931329048581,21.9203226797619,0.0188461760828266,88.5,2.45,94.5,0.998766345916604,1,22,1,0.0,0.0,0.0,19.8301,-90.5349,10
Campeche,23,25.6,23.6,24.1726700306355,21.447946622998,0.0184986952520045,89.0,1.8,80.0,0.998766345916604,1,23,1,0.0,0.0,0.0,19.8301,-90.5349,10
Campeche,24,25.2,23.2,23.7849306777934,20.9223050924288,0.0180514918076605,89.0,1.45,83.0,0.998766345916604,1,0,1,0.0,0.0,0.0,19.8301,-90.5349,10
Campeche,25,24.7,22.85,23.365554718004,20.281060190725,0.0176073744669201,89.5,1.2,96.5,0.998766345916604,1,1,2,0.0,0.0,0.0,19.8301,-90.5349,10
Campeche,26,24.1,22.5,22.9114621228933,19.506867698667,0.0171638030564706,90.5,1.65,98.5,0.998766345916604,1,2,2,0.0,0.0,0.0,19.8301,-90.5349,10
Campeche,27,23.5,22.15,22.5157240201287,18.7019815328143,0.016820643483292,92.0,3.05,92.5,0.998766345916604,1,3,2,0.0,0.0,0.0,19.8301,-90.5349,10
Campeche,28,22.9,21.85,22.1141871772333,17.5117254109628,0.0164772165800405,93.5,3.65,60.0,0.998766345916604,1,4,2,0.0,0.0,0.0,19.8301,-90.5349,10
Campeche,29,22.3,21.55,21.705928642097,16.2666872479131,0.0161339519997692,95.0,3.25,58.5,0.998766345916604,1,5,2,0.0,0.0,0.0,19.8301,-90.5349,10
Campeche,30,21.75,21.3,21.3997272425142,15.4616727299418,0.0159250015531143,97.0,2.75,66.0,0.998766345916604,1,6,2,0.0,0.0,0.0,19.8301,-90.5349,10
Campeche,31,21.2,21.0,21.0852740512639,14.6364952425688,0.0157096842519366,99.0,2.55,66.0,0.998766345916604,1,7,2,0.0,0.0,0.0,19.8301,-90.5349,10
Campeche,32,21.7,21.25,21.4087811601681,15.0788528703959,0.0159590940594534,97.5,2.2,63.0,0.998766345916604,1,8,2,73.17517998867639,5.175179988676612,68.0,19.8301,-90.5349,10
Campeche,33,23.3,22.0,22.3828165566739,16.8306597840077,0.0167061758257655,92.5,1.95,56.5,0.998766345916604,1,9,2,210.52638387747388,42.52638387747389,168.0,19.8301,-90.5349,10
Campeche,34,25.2,22.7,23.3857442666146,18.3102278822148,0.0174259659358789,86.0,2.4,87.5,0.998766345916604,1,10,2,440.2780427200139,215.27804272001498,225.0,19.8301,-90.5349,10
Campeche,35,26.95,23.2,24.2149733745583,20.1897699308715,0.0179934097960675,80.0,2.85,74.0,0.998766345916604,1,11,2,467.0974049963222,151.09740499632224,316.0,19.8301,-90.5349,10
Campeche,36,28.4,23.45,24.8259931243039,21.2954602526736,0.0183708138645076,75.0,2.9,89.0,0.998766345916604,1,12,2,657.6520236160388,387.6520236160389,270.0,19.8301,-90.5349,10
Campeche,37,29.8,23.65,25.2387682149102,21.2573352206801,0.0184608980076564,69.5,3.4,103.5,0.998766345916604,1,13,2,685.5456521998944,467.54565219989445,218.0,19.8301,-90.5349,10
Campeche,38,30.7,23.7,25.4652355258947,21.6927321925783,0.0184589195530881,66.0,4.29999999999999,96.0,0.998766345916604,1,14,2,611.4255811689,402.4255811689,208.99999999999972,19.8301,-90.5349,10
Campeche,39,31.05,23.7,25.6059815719143,22.7413286680605,0.018548342004389,65.0,4.04999999999999,105.5,0.998766345916604,1,15,2,479.73344968966387,249.73344968966555,230.0,19.8301,-90.5349,10
Campeche,40,30.6,23.55,25.460726947393,24.2546858618067,0.0184938230028192,66.5,3.95,86.0,0.998766345916604,1,16,2,200.2095872075122,26.209587207512246,173.99999999999972,19.8301,-90.5349,10
Campeche,41,29.55,23.3,25.0119501336165,24.5566326305461,0.0181895039195877,69.5,3.95,89.0,0.998766345916604,1,17,2,145.91942690835052,59.91942690835055,85.99999999999973,19.8301,-90.5349,10
Campeche,42,28.3,23.05,24.425748273979,23.0024324250201,0.017760352219127,73.0,3.75,103.5,0.998766345916604,1,18,2,0.0,0.0,0.0,19.8301,-90.5349,10
Campeche,43,27.35,22.85,24.0775503073579,21.7733671660113,0.0176039073097206,76.5,3.05,101.5,0.998766345916604,1,19,2,0.0,0.0,0.0,19.8301,-90.5349,10
Campeche,44,26.8,22.7,23.8572442894985,21.2510959683489,0.0174872215334686,78.5,1.85,92.5,0.998766345916604,1,20,2,0.0,0.0,0.0,19.8301,-90.5349,10
